N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,17.140593,0.000000,2.465361,0.069991,0.050332,12.919845,1.633737
1350,20.209897,0.000000,0.076774,0.038271,0.027570,20.051117,0.015498
1800,49.408156,0.000000,1.404957,0.049648,0.035893,47.898416,0.018572
2250,110.487146,0.000000,0.086080,0.056328,0.041188,110.279862,0.022999
2700,172.020429,0.000000,1.416886,0.060867,0.053616,170.464607,0.023773
3150,260.981691,0.000000,1.426756,0.074043,0.054490,259.403032,0.022630
3600,361.646496,0.000000,1.425610,0.078619,0.059758,360.056262,0.025576
4050,499.094223,0.000000,0.106884,0.084504,0.067688,498.805195,0.029337
4500,666.053326,0.000000,0.110595,0.094291,0.070976,665.750513,0.026303
4950,860.969151,0.000000,1.434489,0.098152,0.079552,859.328036,0.028238
5400,1108.724812,0.000000,1.394355,0.108870,0.085516,1107.106160,0.029079
