N,TIME,X
900,10,-0.999776
1350,31,-0.999776
1800,76,-0.664664
2250,149,0.335112
2700,256,-0.093045
3150,397,0.325070
3600,589,0.197157
4050,840,0.603393
4500,1159,1.218245
4950,1561,0.197157
5400,2027,1.439123
