N,TIME,X
900,10,-0.999776
1350,31,-0.999776
1800,75,0.232025
2250,148,0.232025
2700,256,1.125183
3150,397,1.125183
3600,589,0.522227
4050,840,1.403507
4500,1159,-1.265767
4950,1561,4.486444
5400,2027,4.486325
