N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,9.425613,0.896818,0.084730,0.151147,0.042669,9.102366,0.031037
1350,30.508303,0.896818,0.085881,0.211691,0.051835,30.113738,0.038155
1800,71.336501,0.896818,0.078062,0.270501,0.059084,70.855100,0.039780
2250,135.793860,0.896818,0.086182,0.335039,0.066529,135.223530,0.040206
2700,232.287145,0.896818,0.094872,0.389631,0.071351,231.648019,0.041304
3150,365.407054,0.896818,0.096689,0.448549,0.076693,364.698565,0.041569
3600,549.289612,0.896818,0.104302,0.507817,0.082064,548.505061,0.044707
4050,778.843582,0.896818,0.104055,0.564777,0.093359,777.961970,0.045708
4500,1047.082480,0.896818,0.115093,0.631453,0.099115,1046.149789,0.052010
4950,1376.807795,0.896818,0.121356,0.678955,0.103059,1375.831185,0.050433
5400,1784.881881,0.896818,0.126586,0.737713,0.110352,1783.847212,0.053965
