N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,6.613127,0.000000,0.103340,0.034877,0.037747,6.416686,0.019658
1350,22.061884,0.000000,0.122366,0.038799,0.060981,21.808614,0.030437
1800,47.660873,0.000000,0.122944,0.049473,0.059630,47.402268,0.025894
2250,109.273037,0.000000,0.126695,0.053877,0.067463,108.988632,0.035391
2700,172.163327,0.000000,0.161885,0.061143,0.077428,171.815350,0.046708
3150,249.417805,0.000000,0.176813,0.072303,0.085720,249.031311,0.050941
3600,346.548291,0.000000,0.147356,0.084226,0.088696,346.141710,0.085526
4050,513.070336,0.000000,0.186172,0.087956,0.107302,512.643161,0.045083
4500,664.876037,0.000000,0.176507,0.097625,0.100514,664.447354,0.053310
4950,854.146386,0.000000,0.157818,0.112095,0.126194,853.693224,0.056452
5400,1112.776567,0.000000,0.183376,0.108208,0.134258,1112.270203,0.079820
