N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,9.486621,0.896818,0.078795,0.156005,0.051761,9.056610,0.031161
1350,30.418627,0.896818,0.093368,0.293464,0.066541,29.896960,0.041658
1800,71.444358,0.896818,0.091995,0.281047,0.081542,70.723407,0.040486
2250,135.697491,0.896818,0.083327,0.335489,0.091611,134.945221,0.044153
2700,232.186208,0.896818,0.108650,0.415861,0.085126,231.307960,0.040974
3150,364.812570,0.896818,0.104685,0.463108,0.104774,363.856111,0.047931
3600,548.305366,0.896818,0.118360,0.506412,0.092692,547.277922,0.049834
4050,777.351106,0.896818,0.100557,0.595232,0.118198,776.304887,0.048565
4500,1045.422730,0.896818,0.101125,0.860942,0.131014,1044.231586,0.048137
4950,1374.699642,0.896818,0.143235,0.959514,0.133871,1373.356046,0.048068
5400,1782.310641,0.896818,0.141880,0.744816,0.155143,1781.140231,0.064065
