N,TIME,X
900,10,-0.999776
1350,31,-0.999776
1800,76,0.232025
2250,149,0.232025
2700,256,1.125183
3150,398,1.125183
3600,589,0.522227
4050,840,1.403507
4500,1159,2.312091
4950,1561,2.312091
5400,2027,2.240971
