N,TIME,X
900,10,-0.999776
1350,32,-0.999776
1800,77,0.232025
2250,151,0.232025
2700,259,1.125183
3150,401,1.125183
3600,594,0.522227
4050,847,1.403507
4500,1167,2.312091
4950,1571,2.312091
5400,2039,2.240971
