N,TIME,X
900,10,-0.999776
1350,31,-0.999776
1800,76,-0.664664
2250,148,-0.674706
2700,256,1.218228
3150,397,0.218452
3600,589,0.218452
4050,840,-0.093045
4500,1159,0.615289
4950,1561,1.976980
5400,2027,1.435591
