N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,8.875429,0.896818,0.029640,0.129983,0.022805,8.637166,0.011456
1350,28.668100,0.896818,0.035919,0.189784,0.030762,28.366121,0.015635
1800,66.519005,0.896818,0.038006,0.248864,0.035081,66.153625,0.018260
2250,127.140222,0.896818,0.042022,0.311788,0.053217,126.704706,0.013960
2700,217.661458,0.896818,0.048207,0.365251,0.047357,217.157417,0.015649
3150,343.212631,0.896818,0.051913,0.431832,0.070419,342.640527,0.015476
3600,518.008123,0.896818,0.055573,0.485731,0.060270,517.360523,0.015387
4050,732.913242,0.896818,0.059160,0.542378,0.066501,732.190302,0.015210
4500,992.307354,0.896818,0.064340,0.600938,0.072206,991.521442,0.016899
4950,1308.329537,0.896818,0.067129,0.658124,0.079464,1307.477901,0.017389
5400,1676.715580,0.896818,0.070615,0.714337,0.084735,1675.793634,0.017774
