N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,9.247323,0.896818,0.034574,0.128651,0.023250,9.035886,0.020519
1350,30.077964,0.896818,0.037759,0.185032,0.029382,29.770209,0.018360
1800,70.856575,0.896818,0.042103,0.244875,0.037266,70.508930,0.015897
2250,135.211164,0.896818,0.047721,0.301547,0.043240,134.796570,0.020615
2700,231.491881,0.896818,0.050360,0.361216,0.049721,231.003610,0.018832
3150,364.267668,0.896818,0.055878,0.413471,0.055757,363.721156,0.018990
3600,547.888832,0.896818,0.059834,0.476582,0.073447,547.246184,0.018374
4050,776.987156,0.896818,0.062213,0.530883,0.068275,776.282839,0.017580
4500,1044.867936,0.896818,0.066489,0.589795,0.075057,1044.117265,0.016978
4950,1374.087731,0.896818,0.072603,0.655603,0.093598,1373.231803,0.019617
5400,1781.844156,0.896818,0.078385,0.706880,0.107297,1780.918879,0.019419
