N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
900,6.463209,0.896818,0.009469,0.118756,0.013745,6.312514,0.004641
1350,20.450217,0.896818,0.013429,0.174769,0.019867,20.232977,0.005319
1800,46.480253,0.896818,0.017756,0.235024,0.026597,46.191115,0.004726
2250,90.929548,0.896818,0.021472,0.290759,0.032478,90.576253,0.005450
2700,157.697282,0.896818,0.025247,0.347970,0.038845,156.867201,0.008988
3150,231.297528,0.896818,0.029174,0.405084,0.045270,230.778109,0.007499
3600,346.135860,0.896818,0.033433,0.461718,0.051109,345.557672,0.008792
4050,493.948305,0.896818,0.037283,0.519673,0.057682,493.291564,0.007994
4500,660.792794,0.896818,0.041216,0.579812,0.063951,660.069869,0.008812
4950,859.187737,0.896818,0.045314,0.635464,0.069975,858.397640,0.009167
5400,1121.064789,0.896818,0.049305,0.691871,0.076613,1120.203630,0.013898
